Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,GOOG,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
2026-03-16 13:30:00+00:00,,253.2357940673828,209.59500122070312,,632.1500244140625,95.58999633789062,253.58999633789062,210.13999938964844,,634.739990234375,96.0999984741211,249.91000366210938,207.44500732421875,,625.7999877929688,94.36000061035156,252.10499572753906,208.35000610351562,,632.0,95.58000183105469,4604631,5951335,,5389646,4718644
2026-03-16 14:30:00+00:00,,253.01499938964844,209.3699951171875,,629.1799926757812,95.1449966430664,253.88499450683594,209.61000061035156,,632.0900268554688,95.71499633789062,252.9199981689453,208.36000061035156,,627.0900268554688,95.0999984741211,253.22000122070312,209.61000061035156,,632.0900268554688,95.59500122070312,2784630,2934524,,0,2190963
2026-03-16 15:30:00+00:00,,252.36500549316406,208.8415985107422,,623.719970703125,94.9458999633789,253.5399932861328,209.66000366210938,,630.0,95.41999816894531,252.20010375976562,208.62989807128906,,623.1004028320312,94.87999725341797,253.00999450683594,209.36000061035156,,629.1500244140625,95.13999938964844,1738509,2005757,,968008,1796169
2026-03-16 16:30:00+00:00,,252.92999267578125,209.88999938964844,,625.5,94.98600006103516,253.3300018310547,210.1300048828125,,627.030029296875,95.2300033569336,252.1999969482422,208.63999938964844,,623.3049926757812,94.7699966430664,252.35000610351562,208.86000061035156,,623.7849731445312,94.94499969482422,1437485,2378548,,3916268,2621491
2026-03-16 17:30:00+00:00,,252.9199981689453,211.00399780273438,,626.864990234375,95.05000305175781,253.05999755859375,211.21499633789062,,626.8699951171875,95.23999786376953,252.1300048828125,209.6699981689453,,623.4000244140625,94.86000061035156,252.94000244140625,209.89999389648438,,625.52001953125,94.9800033569336,1544256,2256442,,0,1451349
2026-03-16 18:30:00+00:00,,252.86199951171875,212.3800048828125,,627.5150146484375,95.37000274658203,253.44000244140625,212.7239990234375,,628.639892578125,95.38999938964844,252.27000427246094,210.9199981689453,,625.6900024414062,94.9749984741211,252.9219970703125,211.0,,626.8499755859375,95.04000091552734,1954982,3948226,,4982823,1786423
2026-03-16 19:30:00+00:00,,252.77999877929688,211.75999450683594,,627.6300048828125,95.19999694824219,253.05999755859375,212.4499969482422,,628.2100219726562,95.46499633789062,252.11000061035156,211.10000610351562,,626.655029296875,95.13500213623047,252.83999633789062,212.35000610351562,,627.4299926757812,95.375,2287594,15202768,,0,2464203
2026-03-17 13:30:00+00:00,,254.44000244140625,213.68499755859375,,630.0549926757812,95.65499877929688,255.0749969482422,214.8350067138672,,636.5499877929688,96.33999633789062,252.17999267578125,212.42999267578125,,628.0,94.95999908447266,253.07850646972656,212.88499450683594,,628.530029296875,95.30000305175781,3494086,5682256,,1794589,3647143
2026-03-17 14:30:00+00:00,,254.1699981689453,213.889892578125,,625.3900146484375,95.3550033569336,254.9499969482422,214.2899932861328,,631.0,95.71499633789062,253.80079650878906,213.24000549316406,,625.239990234375,95.21499633789062,254.47999572753906,213.69000244140625,,629.833984375,95.66000366210938,1412006,6093312,,750779,1533740
2026-03-17 15:30:00+00:00,,254.86000061035156,213.6699981689453,,625.52001953125,95.30000305175781,255.12989807128906,214.1300048828125,,627.030029296875,95.5302963256836,253.66000366210938,213.00999450683594,,624.530029296875,95.23500061035156,254.14999389648438,213.88999938964844,,625.1699829101562,95.3550033569336,1738870,0,,2227361,1273849
2026-03-17 16:30:00+00:00,,253.9199981689453,213.6649932861328,,624.5599975585938,95.29499816894531,255.02999877929688,214.52999877929688,,625.97998046875,95.52999877929688,253.55999755859375,213.47000122070312,,623.6599731445312,95.19000244140625,254.8699951171875,213.6750030517578,,625.4400024414062,95.30000305175781,6074290,1837148,,0,5562340
2026-03-17 17:30:00+00:00,,254.10000610351562,213.5399932861328,,623.3699951171875,94.55999755859375,254.6300048828125,214.1750030517578,,626.4000244140625,95.33999633789062,253.88499450683594,213.41000366210938,,623.2999877929688,94.55000305175781,253.91000366210938,213.66000366210938,,624.510009765625,95.29499816894531,0,2235475,,403825,0
2026-03-17 18:30:00+00:00,,253.77000427246094,215.22999572753906,,622.9650268554688,94.2750015258789,254.3300018310547,215.6999969482422,,623.8798828125,94.59989929199219,253.13009643554688,213.22999572753906,,621.7100219726562,94.01000213623047,254.09500122070312,213.5399932861328,,623.3699951171875,94.55999755859375,1332707,6420660,,931233,2351373
2026-03-17 19:30:00+00:00,,254.22999572753906,215.1999969482422,,622.6400146484375,94.38999938964844,254.5800018310547,215.64979553222656,,623.7564086914062,94.53500366210938,253.67999267578125,215.02000427246094,,621.77001953125,94.04000091552734,253.77999877929688,215.22999572753906,,622.969970703125,94.27999877929688,1930468,3061262,,716277,2212017
2026-03-18 13:30:00+00:00,,252.35499572753906,211.8800048828125,,615.89501953125,93.9000015258789,254.94000244140625,215.14010620117188,,621.7899169921875,94.9800033569336,251.3800048828125,211.7100067138672,,615.3099975585938,93.61000061035156,252.625,213.9600067138672,,616.3099975585938,94.44499969482422,3152133,4726568,,2908796,3661520
2026-03-18 14:30:00+00:00,,252.3199005126953,211.7698974609375,,621.6599731445312,94.58000183105469,253.05999755859375,212.35000610351562,,622.4498901367188,94.6050033569336,252.0800018310547,211.4600067138672,,615.5,93.69999694824219,252.33999633789062,211.86000061035156,,615.989990234375,93.90499877929688,2064997,2953760,,106952,2614160
2026-03-18 15:30:00+00:00,,251.57009887695312,211.40980529785156,,619.35498046875,94.93000030517578,252.3300018310547,212.25999450683594,,622.6400146484375,95.2750015258789,251.4600067138672,211.39999389648438,,619.25,94.55999755859375,252.30999755859375,211.72000122070312,,621.7205810546875,94.58000183105469,1753188,1638029,,590051,1912849
2026-03-18 16:30:00+00:00,,250.80499267578125,210.81500244140625,,617.760009765625,94.76499938964844,251.58999633789062,211.5,,619.5399780273438,95.05000305175781,250.38999938964844,210.6300048828125,,616.739990234375,94.55999755859375,251.5749969482422,211.39999389648438,,619.2999877929688,94.91999816894531,1604382,2498188,,655365,1392192
2026-03-18 17:30:00+00:00,,250.9600067138672,211.11000061035156,,618.6055297851562,95.1449966430664,251.64759826660156,211.55999755859375,,621.1599731445312,95.33499908447266,250.5399932861328,210.47999572753906,,616.75,94.68000030517578,250.7899932861328,210.8300018310547,,617.7000122070312,94.76499938964844,1514045,2076524,,625240,1466290
2026-03-18 18:30:00+00:00,,249.67999267578125,209.75999450683594,,616.77001953125,94.97000122070312,250.94500732421875,211.3300018310547,,619.3599853515625,95.29000091552734,249.61000061035156,209.30999755859375,,615.0599975585938,94.8499984741211,250.94000244140625,211.08999633789062,,618.5599975585938,95.1449966430664,1957409,2980529,,843970,2036948
2026-03-18 19:30:00+00:00,,249.91000366210938,209.86000061035156,,615.719970703125,94.74500274658203,250.35000610351562,210.07000732421875,,617.0499877929688,95.0999984741211,249.0,208.8300018310547,,614.6099853515625,94.65499877929688,249.69400024414062,209.75,,616.77001953125,94.9800033569336,2998677,3647096,,866707,2071613
2026-03-19 13:30:00+00:00,,249.8000030517578,206.88999938964844,,607.0150146484375,92.82009887695312,251.8300018310547,209.05999755859375,,613.0,95.75,247.3000030517578,206.05999755859375,,606.5800170898438,92.72000122070312,249.39999389648438,207.05999755859375,,611.9600219726562,94.30999755859375,5282204,5645600,,3165493,4910502
2026-03-19 14:30:00+00:00,,249.41000366210938,207.44000244140625,,606.6599731445312,92.52639770507812,250.7100067138672,208.8000030517578,,610.3300170898438,93.375,249.14010620117188,206.8800048828125,,606.010009765625,92.51000213623047,249.80099487304688,206.88499450683594,,606.9450073242188,92.82499694824219,1824930,2674594,,53526,2514421
